headword,CEFR,lemma,pos
almost,A1,almost,ADV
alone,A2,alone,ADV
alone,A1,alone,ADV
along,A1,along,ADP
along,A2,along,ADP
alongside,B2,alongside,ADV
aloud,B1,aloud,ADV
alphabet,B1,alphabet,PROPN
alphabetical,B2,alphabetical,ADJ
already,A1,already,ADV
alright,A2,alright,ADV
alright,A2,alright,ADV
also,A1,also,ADV
altar,B2,altar,PROPN
alter,B2,alter,VERB
alternate,B2,alternate,VERB
alternative,B1,alternative,NOUN
alternative,B1,alternative,NOUN
alternatively,B2,alternatively,ADV
although,A2,although,SCONJ
altitude,B2,altitude,NOUN
altogether,B1,altogether,ADV
aluminum/aluminium,B2,aluminum,NOUN
always,A1,always,ADV
am,A1,be,AUX
amaze,B2,amaze,VERB
amazed,B1,amazed,ADJ
amazement,B2,amazement,NOUN
amazing,B1,amazing,ADJ
amazingly,B2,amazingly,ADV
ambassador,B2,ambassador,PROPN
ambiguity,B2,ambiguity,NOUN
ambiguous,B2,ambiguous,ADJ
ambition,A2,ambition,NOUN
ambitious,B1,ambitious,ADJ
ambulance,B1,ambulance,NOUN
ammonia,B2,ammonia,NOUN
among,A2,among,ADP
amongst,B2,amongst,ADP
amount,B1,amount,NOUN
ample,B2,ample,ADJ
amplifier,B2,amplifier,PROPN
amplify,B2,amplify,VERB
amuse,B2,amuse,VERB
amused,A2,amuse,VERB
amusement,A2,amusement,NOUN
amusing,B1,amusing,ADJ
an,A1,an,PRON
analogy,B2,analogy,NOUN
analysis,B1,analysis,NOUN
analyst,B2,analyst,NOUN
analyze/analyse,B1,analyze,PROPN
ancestor,A2,ancestor,PROPN
anchor,B2,anchor,NOUN
anchorage,B2,anchorage,NOUN
anchorman,B2,anchorman,PROPN
anchorperson,B2,anchorperson,PROPN
ancient,A2,ancient,ADJ
and,A1,and,CCONJ
angel,A2,angel,NOUN
anger,B1,anger,NOUN
angle,B1,angle,PROPN
angrily,A2,angrily,ADV
angry,A1,angry,ADJ
anguish,B2,anguish,PROPN
animal,A1,animal,NOUN
animate,B2,animate,ADJ
animated,B1,animate,VERB
animation,B1,animation,NOUN
ankle,A2,ankle,NOUN
anniversary,A2,anniversary,NOUN
announce,B1,announce,VERB
announcement,B1,announcement,NOUN
annoy,A2,annoy,VERB
annoyance,B1,annoyance,NOUN
annoyed,B1,annoyed,ADJ
annoying,A2,annoying,ADJ
annual,B1,annual,ADJ
annually,B1,annually,ADV
anonymous,B2,anonymous,PROPN
another,A1,another,PRON
another,A2,another,PRON
answer,A1,answer,VERB
answer,A1,answer,VERB
ant,B1,ant,ADJ
anti,B1,anti,ADJ
antiaircraft,B2,antiaircraft,NOUN
antibacterial,B2,antibacterial,NOUN
anticancer,B2,anticancer,NOUN
anticipate,B2,anticipate,VERB
anticipation,B2,anticipation,NOUN
antipollution,B2,antipollution,NOUN
antique,B2,antique,NOUN
antique,B1,antique,NOUN
antistatic,B2,antistatic,PROPN
antivirus,B2,antivirus,PROPN
antonym,B1,antonym,ADJ
anxiety,B1,anxiety,NOUN
anxious,A2,anxious,ADJ
anxiously,B1,anxiously,ADV
any,A1,any,PRON
any,A1,any,PRON
anybody,A1,anybody,PRON
anyhow,B1,anyhow,ADV
anymore,A2,anymore,ADV
anyone,A1,anyone,PRON
anything,A1,anything,PRON
anyway,A2,anyway,ADV
anywhere,A2,anywhere,ADV
apart,A2,apart,ADV
apartment,A2,apartment,NOUN
ape,B1,ape,NOUN
apologize/apologise,A2,apologize,VERB
apology,B1,apology,NOUN
apostrophe,B2,apostrophe,VERB
apparent,B1,apparent,ADJ
apparently,A2,apparently,ADV
appeal,B1,appeal,NOUN
appeal,B2,appeal,NOUN
appear,A2,appear,VERB
appearance,A2,appearance,NOUN
appetite,B1,appetite,VERB
applaud,B1,applaud,VERB
applause,B1,applause,NOUN
apple,A1,apple,NOUN
applicant,B2,applicant,NOUN
application,B1,application,NOUN
apply,A2,apply,VERB
appoint,B1,appoint,VERB
appointment,A2,appointment,NOUN
appreciate,A2,appreciate,VERB
appreciation,B1,appreciation,NOUN
appreciative,B2,appreciative,VERB
approach,B1,approach,NOUN
approach,B2,approach,NOUN
appropriate,A2,appropriate,ADJ
appropriately,B2,appropriately,ADV
approval,B1,approval,NOUN
approve,B1,approve,VERB
approximate,B2,approximate,ADJ
approximately,B1,approximately,ADV
April,A1,April,PROPN
apron,A1,apron,PROPN
arch,B2,arch,ADJ
archaeologist/archeologist,B2,archaeologist,PROPN
architect,B1,architect,NOUN
architecture,A2,architecture,NOUN
arctic,B2,arctic,PROPN
are,A1,be,AUX
area,A2,area,NOUN
arena,B2,arena,NOUN
argue,A2,argue,VERB
argument,A2,argument,NOUN
arise,B1,arise,VERB
aristocracy,B2,aristocracy,NOUN
arithmetic,B1,arithmetic,ADJ
arm,A1,arm,NOUN
arm,B1,arm,NOUN
armchair,A2,armchair,PROPN
armed,A2,arm,VERB
armful,B2,armful,ADJ
army,B1,army,NOUN
around,A2,around,ADV
around,A1,around,ADV
arouse,B2,arouse,NOUN
arrange,B1,arrange,NOUN
arrangement,B1,arrangement,NOUN
arrest,B1,arrest,VERB
arrest,B1,arrest,VERB
arrival,B1,arrival,NOUN
arrive,A1,arrive,VERB
arrogant,B2,arrogant,ADJ
arrow,B1,arrow,NOUN
art,A1,art,NOUN
artery,B2,artery,NOUN
article,A1,article,NOUN
articulate,B2,articulate,VERB
artificial,A2,artificial,PROPN
artificially,B2,artificially,ADV
artist,B1,artist,NOUN
artistic,B1,artistic,ADJ
artistry,B2,artistry,NOUN
as,A2,as,ADP
as,A1,as,ADP
ash,B2,ash,NOUN
ashamed,B1,ashame,VERB
aside,B1,aside,ADV
ask,A1,ask,VERB
asleep,A2,asleep,ADJ
aspect,B1,aspect,NOUN
aspiration,B2,aspiration,NOUN
aspire,B2,aspire,NOUN
aspirin,B1,aspirin,NOUN
assault,B2,assault,NOUN
assemble,B2,assemble,VERB
assembly,B2,assembly,PROPN
assert,B2,assert,VERB
assess,B2,assess,VERB
assessment,B2,assessment,NOUN
assign,B1,assign,VERB
assignment,B1,assignment,NOUN
assist,B1,assist,VERB
assistance,B1,assistance,NOUN
assistant,A2,assistant,NOUN
assistant,B1,assistant,NOUN
associate,B1,associate,NOUN
association,A2,association,PROPN
assume,B1,assume,VERB
assumption,B2,assumption,NOUN
assurance,B2,assurance,NOUN
assure,B2,assure,NOUN
astonish,B2,astonish,VERB
astonished,B2,astonish,VERB
astonishing,B2,astonishing,VERB
astonishment,B2,astonishment,VERB
astronaut,A2,astronaut,NOUN
astronomer,B1,astronomer,NOUN
astronomy,B2,astronomy,NOUN
at,A1,at,ADP
athlete,A2,athlete,NOUN
athletic,B1,athletic,ADJ
athletics,B2,athletic,NOUN
Atlantic,B1,Atlantic,PROPN
atmosphere,B1,atmosphere,NOUN
atom,A2,atom,NOUN
atomic,B1,atomic,PROPN
attach,B1,attach,VERB
attached,B2,attach,VERB
attachment,B1,attachment,NOUN
attack,A2,attack,NOUN
attack,A2,attack,NOUN
attain,B1,attain,NOUN
attainable,B2,attainable,ADJ
attainment,B2,attainment,PROPN
attempt,A2,attempt,NOUN
attempt,B1,attempt,NOUN
attend,B1,attend,VERB
attendance,B2,attendance,NOUN
attention,A2,attention,NOUN
attentive,B2,attentive,ADJ
attentively,B2,attentively,ADV
attitude,A2,attitude,NOUN
attract,B1,attract,VERB
attraction,B1,attraction,NOUN
attractive,A2,attractive,ADJ
attractiveness,B2,attractiveness,NOUN
attribute,B2,attribute,NOUN
attribute,B2,attribute,NOUN
atypical,B2,atypical,ADJ
aubergine,B2,aubergine,PROPN
audience,A2,audience,NOUN
audio,A2,audio,ADJ
audit,B2,audit,NOUN
audition,B2,audition,NOUN
August,A1,August,PROPN
aunt,A1,aunt,NOUN
author,A2,author,NOUN
authoritative,B2,authoritative,ADJ
authority,B1,authority,NOUN
authorize/authorise,B2,authorize,NOUN
automatic,A2,automatic,ADJ
automatically,A2,automatically,ADV
autumn,A1,autumn,PROPN
auxiliary,B1,auxiliary,PROPN
availability,B2,availability,NOUN
available,B1,available,ADJ
avenue,B1,avenue,NOUN
average,A2,average,ADJ
average,A2,average,ADJ
avoid,A2,avoid,VERB
await,B2,await,VERB
awake,A1,awake,ADJ
award,A2,award,NOUN
award,B1,award,NOUN
aware,B1,aware,ADJ
awareness,B1,awareness,NOUN
away,A1,away,ADV
awe,B2,awe,PROPN
awesome,B1,awesome,ADJ
awful,A2,awful,ADJ
awkward,B1,awkward,ADJ
ax/axe,B2,ax,PROPN
axis,B2,axis,NOUN
baby,A1,baby,NOUN
babysit,B1,babysit,NOUN
babysitter,B1,babysitter,NOUN
back,A2,back,ADV
back,A1,back,ADV
back,A1,back,ADV
back,B1,back,ADV
backache,B1,backache,NOUN
background,A2,background,NOUN
backpack,B1,backpack,PROPN
backpacker,B1,backpacker,NOUN
backpacking,B1,backpack,VERB
backup,B2,backup,PROPN
backward/backwards,B2,backward,ADV
backyard,B2,backyard,NOUN
bacon,B1,bacon,PROPN
bad,A1,bad,ADJ
badge,B2,badge,PROPN
badly,A2,badly,ADV
badminton,A2,badminton,PROPN
bad-tempered,B2,bad,ADV
bag,A1,bag,NOUN
baggage,B1,baggage,NOUN
bake,A2,bake,VERB
baker,B1,baker,PROPN
bakery,B1,bakery,PROPN
balance,B1,balance,NOUN
balance,B2,balance,NOUN
balanced,B2,balanced,ADJ
balcony,A2,balcony,PROPN
bald,B1,bald,ADJ
balky,B2,balky,NOUN
ball,A1,ball,NOUN
ballad,B2,ballad,ADJ
ballet,B2,ballet,VERB
balloon,A2,balloon,NOUN
ballot,B2,ballot,NOUN
ban,B2,ban,NOUN
ban,B2,ban,NOUN
banana,A1,banana,PROPN
band,A1,band,NOUN
bandage,B1,bandage,NOUN
bang,B1,bang,PROPN
bang,B1,bang,PROPN
bank,A1,bank,PROPN
bank,A2,bank,PROPN
bank account,B1,bank,PROPN
banker,B2,banker,NOUN
banking,A2,banking,NOUN
bankrupt,B2,bankrupt,ADJ
bankruptcy,B2,bankruptcy,NOUN
bar,A1,bar,NOUN
bar,B1,bar,NOUN
barbecue,A2,barbecue,NOUN
barbecue,B1,barbecue,NOUN
barber,A2,barber,PROPN
barbershop,B2,barbershop,PROPN
bare,B1,bare,ADJ
bare,B2,bare,ADJ
barely,B1,barely,ADV
bargain,A2,bargain,NOUN
bargain,B2,bargain,NOUN
bark,B1,bark,PROPN
bark,B2,bark,PROPN
barley,B2,barley,NOUN
barman,B1,barman,PROPN
barn,B2,barn,VERB
barometer,B2,barometer,NOUN
barrel,B1,barrel,NOUN
barren,B2,barren,VERB
barrier,B2,barrier,NOUN
bartender,B2,bartender,NOUN
base,A2,base,NOUN
base,B1,base,NOUN
baseball,A1,baseball,NOUN
basement,B1,basement,NOUN
basic,A2,basic,ADJ
basically,A2,basically,ADV
basin,B1,basin,NOUN
basis,B1,basis,NOUN
basket,A2,basket,NOUN
basketball,A1,basketball,NOUN
bat,A1,bat,NOUN
bat,B1,bat,NOUN
batch,A2,batch,VERB
bath,A1,bath,NOUN
bathe,B1,bathe,VERB
bathhouse,B2,bathhouse,NOUN
bathroom,A1,bathroom,NOUN
battery,A2,battery,NOUN
battle,B1,battle,NOUN
battlefield,B2,battlefield,NOUN
bay,A2,bay,PROPN
be,A1,be,AUX
beach,A1,beach,PROPN
beagle,B2,beagle,PROPN
beak,B2,beak,NOUN
beam,B2,beam,NOUN
bean,A1,bean,NOUN
bear,A1,bear,NOUN
bear,A2,bear,NOUN
beard,B1,beard,PROPN
bearing,B2,bear,VERB
beast,B1,beast,NOUN
beat,B2,beat,VERB
beat,B1,beat,VERB
beautiful,A1,beautiful,ADJ
beautifully,B1,beautifully,ADV
beautify,B2,beautify,VERB
beauty,A2,beauty,NOUN
beaver,B1,beaver,PROPN
because,A1,because,SCONJ
because of,B1,because,SCONJ
become,A1,become,VERB
bed,A1,bed,NOUN
bedroom,A1,bedroom,NOUN
bedside,B1,bedside,VERB
bee,A1,bee,PROPN
beef,A1,beef,NOUN
been,A2,be,AUX
beer,A2,beer,NOUN
before,A1,before,ADP
before,A2,before,ADP
before,A1,before,ADP
beg,A2,beg,PROPN
begin,A1,begin,VERB
beginner,A2,beginner,NOUN
beginning,A2,begin,VERB
behalf,B1,behalf,NOUN
behave,B1,behave,VERB
behavior/behaviour,A2,behavior,NOUN
behind,A1,behind,ADV
behind,A1,behind,ADV
being,A2,be,AUX
belief,B1,belief,NOUN
believe,A1,believe,VERB
bell,A1,bell,NOUN
bellow,B2,bellow,VERB
belly,A2,belly,NOUN
belong,A2,belong,VERB
belongings,B2,belonging,NOUN
beloved,B1,belove,VERB
below,A1,below,ADP
below,A1,below,ADP
belt,A2,belt,PROPN
bench,A2,bench,NOUN
bend,B2,bend,VERB
bend,A2,bend,VERB
beneath,B1,beneath,ADP
beneficial,B2,beneficial,ADJ
benefit,B1,benefit,NOUN
benefit,B2,benefit,NOUN
benevolence,B2,benevolence,NOUN
benevolent,B2,benevolent,ADJ
bent,B1,bent,ADJ
berry,B2,berry,VERB
beside,A1,beside,ADV
besides,A2,besides,ADV
besides,B1,besides,ADV
best,A1,well,ADV
best,A1,well,ADV
bestow,B2,bestow,VERB
bestseller,B2,bestseller,NOUN
bet,B1,bet,PROPN
betray,B2,betray,NOUN
better,A1,well,ADV
better,A2,well,ADV
between,A1,between,ADP
bewilder,B2,bewilder,NOUN
bewilderment,B2,bewilderment,NOUN
beyond,A2,beyond,ADP
bicycle,A1,bicycle,NOUN
bid,B2,bid,VERB
bidding,B2,bidding,NOUN
big,A1,big,ADJ
bike,A1,bike,NOUN
bikini,B2,bikini,PROPN
bilingual,B1,bilingual,PROPN
bill,A2,bill,NOUN
bill,B1,bill,NOUN
billion,B2,billion,NUM
bin,B1,bin,PROPN
bind,B2,bind,VERB
bio,B2,bio,PROPN
biochemistry,B1,biochemistry,NOUN
biography,B1,biography,NOUN
biological,B2,biological,PROPN
biology,B1,biology,NOUN
biotechnology,B2,biotechnology,NOUN
bird,A1,bird,NOUN
birdcage,B2,birdcage,NOUN
birth,A1,birth,NOUN
birthday,A1,birthday,NOUN
birthplace,B2,birthplace,NOUN
biscuit,A1,biscuit,NOUN
bishop,B1,bishop,PROPN
bit,A2,bit,NOUN
bite,A2,bite,VERB
bite,B1,bite,VERB
bitter,B1,bitter,ADJ
bitterly,B2,bitterly,ADV
bizarre,B2,bizarre,ADJ
black,A1,black,ADJ
black,A1,black,ADJ
blackboard,A2,blackboard,PROPN
blade,B2,blade,NOUN
blame,B1,blame,VERB
blame,A2,blame,VERB
blank,A1,blank,ADJ
blanket,A2,blanket,NOUN
blast,B2,blast,NOUN
blast,B2,blast,NOUN
blaze,B2,blaze,VERB
blaze,B2,blaze,VERB
bleed,B1,bleed,NOUN
blend,B2,blend,NOUN
blend,B1,blend,NOUN
bless,B1,bless,VERB
blessing,B1,blessing,NOUN
blind,B1,blind,ADJ
blindly,B2,blindly,ADV
blindness,B2,blindness,NOUN
blink,B2,blink,VERB
block,A1,block,NOUN
block,B1,block,NOUN
blog,B1,blog,NOUN
blogger,B1,blogger,PROPN
blonde,A2,blonde,ADJ
blood,A2,blood,NOUN
bloodstream,B2,bloodstream,VERB
bloody,B2,bloody,ADJ
bloody,B2,bloody,ADJ
bloom,A2,bloom,VERB
blooming,B2,bloom,VERB
blossom,B2,blossom,NOUN
blow,A2,blow,VERB
blow,A1,blow,VERB
blue,A1,blue,ADJ
blue,A1,blue,ADJ
blur,B2,blur,NOUN
blurt,B2,blurt,PROPN
blush,B1,blush,NOUN
blush,B2,blush,NOUN
board,A1,board,PROPN
board,B1,board,PROPN
board game,A2,board,NOUN
boast,B1,boast,NOUN
boat,A1,boat,NOUN
body,A1,body,NOUN
boil,A2,boil,VERB
boiled,A2,boil,VERB
boiling,B2,boil,VERB
bold,B1,bold,ADJ
bold,B2,bold,ADJ
boldly,B1,boldly,ADV
bolt,B2,bolt,VERB
bolt,B2,bolt,VERB
bomb,B1,bomb,NOUN
bomb,B1,bomb,NOUN
bombard,B2,bombard,NOUN
bomber,B2,bomber,NOUN
bombing,B2,bombing,NOUN
bond,B1,bond,NOUN
bone,A1,bone,NOUN
bonus,A2,bonus,NOUN
bony,B2,bony,PROPN
book,A1,book,PROPN
book,B1,book,PROPN
bookcase,A2,bookcase,NOUN
booking,B1,book,VERB
bookish,B2,bookish,NOUN
booklet,B2,booklet,NOUN
bookmark,B2,bookmark,PROPN
bookmark,B2,bookmark,PROPN
bookshelf,A2,bookshelf,PRON
bookshop,A2,bookshop,NOUN
bookstore,A1,bookstore,NOUN
boom,B1,boom,NOUN
boost,B2,boost,VERB
boost,B2,boost,VERB
boot,B1,boot,NOUN
booth,B2,booth,PROPN
border,B1,border,NOUN
bore,B1,bore,NOUN
bored,A2,bore,VERB
boredom,B1,boredom,PROPN
boring,A1,bore,VERB
borrow,A1,borrow,VERB
boss,A2,boss,NOUN
bossy,B2,bossy,ADJ
botany,B2,botany,NOUN
both,A1,both,PRON
both,A1,both,PRON
both,A1,both,PRON
bother,B1,bother,VERB
bother,A2,bother,VERB
bothered,B2,bother,VERB
bothersome,B2,bothersome,ADV
bottle,A1,bottle,NOUN
bottle,B2,bottle,NOUN
bottom,A1,bottom,NOUN
bounce,B2,bounce,NOUN
bounce,B1,bounce,NOUN
bound,B1,bind,VERB
bourbon,B2,bourbon,NOUN
bow,B1,bow,VERB
bow,B2,bow,VERB
bowl,A1,bowl,PROPN
bowl,B1,bowl,PROPN
box,A1,box,PROPN
boxer,B2,boxer,NOUN
boxing,B1,box,VERB
boy,A1,boy,NOUN
boyfriend,A1,boyfriend,NOUN
bra,A2,bra,NOUN
bracelet,B1,bracelet,NOUN
bracket,B2,bracket,NOUN
brag,B2,brag,VERB
brain,A1,brain,NOUN
brainstorm,A2,brainstorm,NOUN
brainstorming,B1,brainstorm,VERB
brake,A2,brake,NOUN
brake,B2,brake,NOUN
branch,A2,branch,NOUN
branch,B1,branch,NOUN
brand,A2,brand,NOUN
brand-new,B1,brand,NOUN
brass,B1,brass,NOUN
brave,A2,brave,ADJ
bravely,B1,bravely,ADV
bravery,B2,bravery,NOUN
bread,A1,bread,NOUN
break,A2,break,VERB
break,A1,break,VERB
breakable,B2,breakable,ADJ
breakdown,B2,breakdown,PROPN
breakfast,A1,breakfast,NOUN
breakthrough,B1,breakthrough,NOUN
breakup,B2,breakup,PROPN
breast,B1,breast,NOUN
breath,B1,breath,PROPN
breathe,A1,breathe,VERB
breathless,B1,breathless,NOUN
breathtaking,B2,breathtake,VERB
breed,B2,breed,NOUN
breed,B1,breed,NOUN
breeding,B1,breed,VERB
breeze,A2,breeze,VERB
breezy,B2,breezy,VERB
brewery,B2,brewery,NOUN
brick,B1,brick,NOUN
bride,A2,bride,NOUN
bridge,A1,bridge,PROPN
brief,B1,brief,ADJ
briefly,B1,briefly,ADV
bright,A1,bright,ADJ
brightly,B1,brightly,ADV
brilliant,A2,brilliant,PROPN
brilliantly,B2,brilliantly,ADV
bring,A1,bring,VERB
broad,B1,broad,ADJ
broadband,B2,broadband,PROPN
broadcast,B1,broadcast,PROPN
broadcast,B2,broadcast,PROPN
broadcaster,B2,broadcaster,PROPN
broaden,B2,broaden,VERB
broadly,B2,broadly,ADV
broccoli,B1,broccoli,NOUN
brochure,B2,brochure,NOUN
broken,A1,break,VERB
bronze,B1,bronze,NOUN
brother,A1,brother,NOUN
brotherhood,B1,brotherhood,PROPN
brother-in-law,B2,brother,NOUN
brown,A1,brown,PROPN
brown,A2,brown,PROPN
browse,B2,browse,NOUN
browser,B2,browser,PROPN
bruise,B2,bruise,NOUN
brush,A1,brush,NOUN
brush,A1,brush,NOUN
bubble,B1,bubble,NOUN
bucket,A1,bucket,NOUN
bud,B2,bud,VERB
buddy,B1,buddy,PROPN
budget,B2,budget,NOUN
budget,A2,budget,NOUN
bug,A2,bug,NOUN
build,A1,build,VERB
builder,B1,builder,NOUN
building,A1,build,VERB
bulb,A2,bulb,PROPN
bulimia,B2,bulimia,NOUN
bull,B1,bull,NOUN
bullet,B1,bullet,NOUN
bulletin,B1,bulletin,PROPN
bully,B2,bully,PROPN
bum,B2,bum,NOUN
bump,B1,bump,NOUN
bumper,B2,bumper,NOUN
bun,B2,bun,NOUN
bunch,B1,bunch,NOUN
burden,B1,burden,VERB
burden,B2,burden,VERB
burdensome,B2,burdensome,ADV
bureau,B1,bureau,PROPN
bureaucracy,B2,bureaucracy,NOUN
burger,A1,burger,NOUN
burglar,B1,burglar,PROPN
burglary,B2,burglary,NOUN
burgle,B2,burgle,PROPN
burial,B2,burial,NOUN
burn,A2,burn,VERB
burn,B1,burn,VERB
burning,B1,burn,VERB
burst,B1,burst,VERB
bury,A2,bury,VERB
bus,A1,bus,NOUN
bus station,A2,bus,NOUN
bus stop,A2,bus,NOUN
bush,A2,bush,PROPN
business,A1,business,NOUN
businessman,A2,businessman,NOUN
businesswoman,A2,businesswoman,PROPN
bust,B1,bust,PROPN
bustle,B2,bustle,NOUN
bustling,B2,bustle,VERB
busy,A1,busy,ADJ
but,A1,but,CCONJ
but,B1,but,CCONJ
butcher,B1,butcher,PROPN
butcher,B2,butcher,PROPN
butter,A1,butter,NOUN
butterfly,A1,butterfly,NOUN
button,A1,button,PROPN
buy,A1,buy,VERB
buyer,B1,buyer,NOUN
buzz,B2,buzz,PROPN
buzz,B2,buzz,PROPN
by,A1,by,ADP
bye,A1,bye,INTJ
cab,A2,cab,NOUN
cabbage,B1,cabbage,PROPN
cabin,B1,cabin,NOUN
cabinet,B2,cabinet,PROPN
